Comment
"This video is actually very close to my heart. Me and my Editor felt very emotional while editing the clips. We were almost in the edge to cancel this one. But, we wanted to celebrate his life through this video. Long Live King. 👑💔"
We miss you legend
REST IN PEACE OUR LEGEND SUSHANT SINGH RAJPUT❤
This is not edited by pen its edited by pain 💔
Sry bro from starting I saw his every film as normal hero but the end I realised his legend 😢 stop doing songs anything about him plz  i wana forget him plz
All time favorite
I LOVE YOU SSR.🥰
15/06/23 still missing him ☹️
Leaving this comment so that whenever someone like I remember to listen this song once again
Killing it❤
Legand never die I love ssr 💔
SSR in our hearts forever ♾️
Love you 3000❤ ssr 😫😩😫😭😭
Great lofi mix ❤😘
@ don't don't yaar.😣. Please. Ssr. You are still alive. 😕
He was too good which is forbidden in this kalyoog
I like it ☺️
❤️📈📈📈📈
SSR 💔🥺
Really miss you ssr🥺🥺
Hart touching❤🥺sushant sir🙌
Rest in peace SSR 🙏
He was in our heart.....He is in our heart.....He will be in our heart.....😌💙👑 #justiceforssr
Actually you don't needed to add the romantic scenes
why ?.......Sushant
pls make an individual lofi of khariyat song
Sushant Singh Rajput sir i miss you 😭❤️
"Someone:your favourite actor?
Me: sushant Singh rajput
Someone:his not alive 
Me:his still alive I'm my heart"
"Thankuuuu bro for this 🙃😌
SSR❤️"
"I went into sad🍂 how could you do this and  what magic is you are using 🥺 you the entire team is full filling the minds  of every viewers with feelings, great souls ❤️"
😭😭😭SSR❤️
The second half is amazing 😍😍😍
No words sushanth living in heart ❤️🥺
1:43 that drop............ i gosh!!! that was epic! most important part of the song...
SSR ki death ke saath Bollywood ka downfall chalu ho gaya....
Arz kiya hai ❤️Tu saath hoti toh ❣️Par zindagi haseen Hoti ❤️ Agar tu mili na hoti ❣️ Ye Roz Roz khud se sawaal na hote 😌Ye Hari bhari zindagi mein kisi ke Kami Khali na hoti ❣️Agar tu mili na hoti 😌Wahi Awara man chale ladke Hote Hum ❤️ Duniya ke daur bhaag se thak ke lout ke 😌 Chain se maa ki god me sote hum ❤️Kisi cheez ki parwaah nahi hoti ❤️Shamon me cigarette jali nahi hoti😌Nashon ki latt lagi nahi hoti 😌 Uzzalon se darta nahi Dil mera❤️Bheed ko dekh ke bechaini machi nahi hoti ❤️Sab sawaal ek taraf 19 ki umar mein ❣️Umar se pehle chehre par baraf ugi nahi hoti 😌Hum bhi Auron ki tarah dil se haste ❣️Agar tu mili nahi hoti 😌
Brother God bless  my brother
My favourite 1:00 to 2:00
No words just ❤️
Tears start oozing out after Arijit's voice 😭 I have never felt so much heartbroken while listening to a song. Missing you Sushant 🥺
Get you the moon x barishein anuv jain maship
🤍🤍🤍🤍🤍🤍🤍🤍❤❤🤍💙💙💙💙💙
"😭😭🥺,R.I.P"
Om shanti 😥
